
nome;idade;cidade;timestamp;valor_conta
Enrico;30;RJ;2025-05-10 08:01:12;76
Enrico;30;RJ;2025-05-10 08:00:16;5
Enrico;30;RJ;2025-05-10 08:04:34;33
Enrico;30;RJ;2025-05-10 08:01:48;08
Enrico;30;RJ;2025-05-10 08:04:48;45
Enrico;30;RJ;2025-05-10 08:05:34;81
Enrico;30;RJ;2025-05-10 08:02:06;87
Enrico;30;RJ;2025-05-10 08:00:20;56
Enrico;30;RJ;2025-05-10 08:03:03;71
Enrico;30;RJ;2025-05-10 08:01:39;73
Enrico;30;RJ;2025-05-10 08:01:24;61
Enrico;30;RJ;2025-05-10 08:02:01;
Enrico;30;RJ;2025-05-10 08:02:46;14
Enrico;30;RJ;2025-05-10 08:05:31;60
Enrico;30;RJ;2025-05-10 08:04:26;24
Enrico;30;RJ;2025-05-10 08:00:04;86
Enrico;30;RJ;2025-05-10 08:02:22;98
Enrico;30;RJ;2025-05-10 08:00:03;
Enrico;30;RJ;2025-05-10 08:03:43;35
Enrico;30;RJ;2025-05-10 08:02:40;49
Enrico;30;RJ;2025-05-10 08:05:55;7
Enrico;30;RJ;2025-05-10 08:03:24;47
Enrico;30;RJ;2025-05-10 08:01:17;33
Enrico;30;RJ;2025-05-10 08:05:33;46
Enrico;30;RJ;2025-05-10 08:02:51;5
Enrico;30;RJ;2025-05-10 08:04:15;61
Enrico;30;RJ;2025-05-10 08:02:57;83
Enrico;30;RJ;2025-05-10 08:01:02;98
Enrico;30;RJ;2025-05-10 08:02:32;37
Enrico;30;RJ;2025-05-10 08:00:16;96
WILL;30;SP;2025-05-10 08:01:12;76
WILL;30;SP;2025-05-10 08:00:16;5
WILL;30;SP;2025-05-10 08:04:34;33
WILL;30;SP;2025-05-10 08:01:48;08
WILL;30;SP;2025-05-10 08:04:48;45
WILL;30;SP;2025-05-10 08:05:34;81
WILL;30;SP;2025-05-10 08:02:06;87
WILL;30;SP;2025-05-10 08:00:20;56
WILL;30;SP;2025-05-10 08:03:03;71
WILL;30;SP;2025-05-10 08:01:39;73
WILL;30;SP;2025-05-10 08:01:24;61
WILL;30;SP;2025-05-10 08:02:01;
WILL;30;SP;2025-05-10 08:02:46;14
WILL;30;SP;2025-05-10 08:05:31;60
WILL;30;SP;2025-05-10 08:04:26;24
WILL;30;SP;2025-05-10 08:00:04;86
WILL;30;SP;2025-05-10 08:02:22;98
WILL;30;SP;2025-05-10 08:00:03;
WILL;30;SP;2025-05-10 08:03:43;35
WILL;30;SP;2025-05-10 08:02:40;49
WILL;30;SP;2025-05-10 08:05:55;7
WILL;30;SP;2025-05-10 08:03:24;47
WILL;30;SP;2025-05-10 08:01:17;33
WILL;30;SP;2025-05-10 08:05:33;46
WILL;30;SP;2025-05-10 08:02:51;5
WILL;30;SP;2025-05-10 08:04:15;61
WILL;30;SP;2025-05-10 08:02:57;83
WILL;30;SP;2025-05-10 08:01:02;98
WILL;30;SP;2025-05-10 08:02:32;37
WILL;30;SP;2025-05-10 08:00:16;96
